csc,countries,carriers
3IE,IE,Three
ABD,TN
ACG,US,Nextech;C-Spire
ACR,GH
AFG,AF
AFR,KE
AIO,US,Cricket Wireless
ALE,EC
ALG,DZ
ALR,DZ
AMN,ES,Orange
AMO,ES,Orange
ANC,UY
ANP,IE
AOC,GR
AOM,AT
ARB,BH;AE
ARO,AR
ARU,AW
ATC,US
ATL,ES,Vodafone
ATO,AT
ATT,US,AT&T
AUC,FR
AUT,CH
AVF,AL,Vodafone
AXI,ID
AZC,RU
BAA,BS
BAE,BE
BAS,TR
BAT,BS
BAU,SE
BBR,EC
BCN,SE
BEN,NL
BGD,SG
BGL,BG
BHO,BA
BHT,BA,BH Telecom
BKD,BD
BLN,RU
BMC,CA,Bell
BME,SE
BNG,BD
BOG,FR,Bouygues
BPC,PA
BRI,TW
BSE,BE
BSG,SE
BST,US,Boost Mobile
BTA,BR
BTB,UK
BTC,LY
BTE,UK
BTH,SE
BTM,BR
BTU,GB
BVO,BO
BVT,BO
BVV,BO
BWA,CA,SaskTel
CAC,UZ
CAL,NL
CAM,KH
CAT,TH
CAU,AM;GE;AZ;RU
CCM,MY
CCT,US,Xfinity Mobile
CDR,DO
CEL,IL,Cellcom
CEN,PR
CGU,CO;GT,Tigo
CHA,US,Spectrum Mobile
CHB,CL
CHC,CN
CHE,CL,Entel PCS
CHL,CL,Claro
CHM,CN,China Mobile
CHN,CN
CHO,CL
CHR,CA,Chatr
CHT,CL,Telefonica
CHV,CL,VTR
CHX,CL,Nextel
CMC,CN
CMF,BG
CNX,RO,Vodafone
COA,RO,Cosmote
COB,CO,Movistar
COE,CO,ETB
COL,CO
COM,CO,Comcel
COO,CO
COR,FR
COS,GR,Cosmote
COV,SE
CPA,PA,Claro
CPW,GB,Carphone Warehouse
CRC,CL
CRG,HR
CRM,AR;BO;BR;CL;CO;EC;FK;GF;GY;PY;PE;SR;UY;VE,Movistar
CRO,HR,T-Mobile
CSC,UZ
CST,DM
CTC,CN,China Telecom
CTE,HN
CTF,CA,Cityfone
CTI,AR,Claro
CTP,PY,Claro
CTU,UY,Claro
CUH,CN
CWT,TW
CWW,JM
CYO,GR,Cytamobile Vodafone
CYV,CY,Vodafone
DBT,DE
DCM,JP
DCN,DM
DDE,DE,Congstar
DGC,SV
DGT,VE
DHR,HR,Bonbon
DIX,FR
DKR,SN;KE,Zain
DNA,VN
DNL,NL,Ben NL
DOO,DO
DOR,DM;DO,Orange
DPL,PL,Heyah
DRE,AT,3 Hutchinson
DSA,US
DSG,US
DSH,US,Dish
DTL,DK
DTM,DE,T-Mobile
DUT,DE
EBE,EC
ECO,EC
ECT,NG
EGY,EG
EIR,IE,Eir
ELS,FI
EMT,RU
EON,EC
EPL,DE,E-Plus
ERA,PL,T-Mobile
ERO,BA
ERS,RU
ESK,CA,EastLink
EST,KZ
ETE,SV
ETL,CZ
ETR,BD
EUR,GR
EUS,ES
EUX,AT;BE;BG;HR;CY;CZ;DK;EE;FI;FR;DE;GR;HU;IE;IT;LV;LT;LU;MT;NL;PL;PT;RO;RS;SK;SI;ES;SE;IS;LI;NO;CH
EUY,AT;BE;BG;HR;CY;CZ;DK;EE;FI;FR;DE;GR;HU;IE;IT;LV;LT;LU;MT;NL;PL;PT;RO;RS;SK;SI;ES;SE;IS;LI;NO;CH
EVR,GB,EE
FAM,PH
FIZ,CA
FKR,US
FMC,CA,Fido
FME,MY
FMG,MY
FOP,ES
FPT,VN
FTB,FR
FTM,FR,Orange
FWB,IT
FWD,MA
GBL,BG
GCF,US,Global Certification Forum
GCR,NG
GEO,RU
GER,GR
GLB,PH,Globe
GLO,GT
GLW,CA,Globalive Wind
GOM,IT
GTL,SK
GTO,GT
H3G,GB,Three
HAT,RO
HTS,SE,Tre
HUI,IT,H3G
HUT,AU,Three;Vodafone
ICE,CR
IDE,PL,Orange
ILO,IL,HotMobile
ILP,LB
IMS,IN
INA,IN
IND,IN
INS,IN
INT,CN
INU,IN
IRD,SK,Orange
IRS,CI
ITO,AE
ITV,IT
IUS,MX
JBS,JM
JCN,JM
JCW,JM
JDI,JM
JED,SA
KBN,CZ
KCL,KZ
KDI,JP,KDDI au
KDO,CA,Koodo
KEL,KE
KEN,KE
KMB,KZ
KOO,KR
KPN,NL,KPN
KSA,SA
KTC,KR,KT Corporation
KVK,TR
KVR,UA
KZK,KZ
LAO,TH
LEV,JO
LLA,PR
LRA,US,Bluegrass Cellular
LUC,KR,LG Uplus
LUX,LU
LYS,LY;AE
M00,CN
MAN,DE
MAT,MA,MAT
MAX,AT,T-Mobile
MBC,DE
MBM,MK,T-Mobile
MDR,RS;ME
MED,MA
MEO,PT
MET,IE,Meteor
MID,IQ;AE
MM1,SG
MMC,LY
MML,NG
MMO,NL
MOB,AT,A1
MOK,AT
MOT,SI,Mobitel
MOZ,CH
MPC,MN
MRU,MU
MSR,RS;ME,Telenor
MTB,BY
MTE,BG
MTL,BG,MTL
MTV,RU
MTZ,ZM,MTN Zambia
MVL,VE
MWD,MA,MWD
MXO,MX
MXS,MY
MYM,TH,MPT;Mectel
NBS,NI
NEE,DK;FI;IS;NO;SE;GL
NPL,NP
NRJ,FR
NZC,NZ
O2C,CZ,O2C
O2I,IE,O2
O2U,GB,O2
OAR,AM
OFR,FR
OLB,MY;TH;VN;PH,Multi-CSC
OMN,IT,Vodafone
OMX,BG
ONE,AT,Orange
ONL,NL
OPP,AU
OPS,AU,Optus
OPT,PT,Optimus
ORA,GB,Orange
ORC,FR
ORF,FR
ORG,CH
ORN,FR
ORO,RO,Orange
ORS,SK
ORX,SK
OSK,CZ
OXA,FR;DE;IT;PL;GB,Multi-CSC
OXE,KZ;RU;AE,Multi-CSC
