Osmocom TAC database under CC-BY-SA v3.0 (c) Harald Welte 2016,
tac,model,model2
10196000,SGH-S300
10196800,SGH-S300
10239000,SGH-S300
10508000,S342i
33003600,SGH-250
33003699,SGH-250
35009700,SGH-N100
35009708,SGH-N100
35009726,SGH-N100
35009728,SGH-N100
35009789,SGH-N100
35009790,SGH-N100
35009791,SGH-N100
35009792,SGH-N100
35009900,SGH-800
35012300,SGH-N188
35012345,SGH-N188
35012389,SGH-N188
35012500,SGH-N300
35012526,SGH-N300
35012560,SGH-N300
35012589,SGH-N300
35012600,SGH-A288
35012652,SGH-A288
35012689,SGH-A288
35012700,SGH-A200
35012789,SGH-A200
35012790,SGH-A200
35012791,SGH-A200
35012800,SGH-N300
35012900,SGH-N288
35012989,SGH-N288
35013000,SGH-N400
35013089,SGH-N400
35013090,SGH-N400
35018000,SGH-A100
35018300,SGH-N105
35018389,SGH-N105
35018700,SGH-A300
35018721,SGH-A300
35018726,SGH-A300
35018727,SGH-A300
35018728,SGH-A300
35018750,SGH-A300
35018765,SGH-A300
35018789,SGH-A300
35018790,SGH-A300
35018791,SGH-A300
35018792,SGH-A300
35018793,SGH-A300
35018794,SGH-A300
35018960,K98
35019400,SGH-N200
35019489,SGH-N200
35019500,SGH-R200
35019526,SGH-R200
35019589,SGH-R200
35019800,SGH-A308
35019889,SGH-A308
35030200,SGH-A400
35030201,SGH-A400
35030209,SGH-A400
35030220,SGH-A400
35030288,SGH-A400
35030292,SGH-A400
35030299,SGH-A400
35030700,SGH-A408
35030799,SGH-A408
35046700,SGH-S300
35046712,SGH-S300
35046726,SGH-S300
35046766,SGH-S300
35046789,SGH-S300
35046790,SGH-S300
35047100,SGH-S308
35047108,SGH-S308
35047189,SGH-S308
35062000,K100
35062001,K100
35062200,K7100
35062300,SGH-R210
35062326,SGH-R210
35062380,SGH-R210
35062389,SGH-R210
35062400,SGH-R220
35062408,SGH-R220
35062489,SGH-R220
35013100,K3900
35018900,K98
35065600,SGH-R208
35065689,SGH-R208
35066100,Kejian K200
35070200,K50
35071300,Kejian K60
35072100,SGH-N620
35072108,SGH-N620
35072109,SGH-N620
35072126,SGH-N620
35072189,SGH-N620
35072190,SGH-N620
35072191,SGH-N620
35072200,SGH-N618
35073500,SGH-N350
35073600,SGH-R210
35073626,SGH-R210
35073681,SGH-R210
35073689,SGH-R210
35073700,SGH-R220
35073708,SGH-R220
35073726,SGH-R220
35073789,SGH-R220
35074000,SGH-Q200
35074026,SGH-Q200
35074089,SGH-Q200
35074090,SGH-Q200
35074091,SGH-Q200
35074300,SGH-R200
35074326,SGH-R200
35074350,SGH-R200
35074389,SGH-R200
35075800,Kejian K90
35075860,Kejian K90
35078200,SGH-N628
35078208,SGH-N628
